"年月份市售有機農糧產品及有機農糧加工品品質檢驗結果月報表（添加物）",,,,,,,,,
"序號","抽檢日期","抽檢編號","樣品名稱","農產品經營業者（進口業者）","農產品經營業者（進口業者）地址","有機農產品驗證機構","檢出藥劑","採樣地點","備註"
1,1021002,ORG2010341,"有機葵瓜子仁","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,"合格","里仁事業股份有限公司板橋中正分公司新北市板橋區中正路號樓",
2,1021002,ORG2010342,"有機大紅棗","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,"合格","里仁事業股份有限公司板橋中正分公司新北市板橋區中正路號樓",
3,1021002,ORG2010343,"有機全麥麵粉","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,"合格","里仁事業股份有限公司板橋中正分公司新北市板橋區中正路號樓",
4,1021002,ORG2010346,"有機糙米麩","菩提有機食品工廠","嘉義縣民雄鄉文隆村鄰鴨母號",TOC,"合格","里仁事業股份有限公司板橋中正分公司新北市板橋區中正路號樓",
5,1021002,ORG2010347,"有機紫米八寶粥","春喬食品公司","彰化縣員林鎮山腳路段巷號",TOC,"合格","里仁事業股份有限公司板橋中正分公司新北市板橋區中正路號樓",
6,1021007,ORG2010351,"源順有機南瓜糙米米粉","源順食品有限公司","雲林縣虎尾鎮文科路號","采園生態驗證有限公司","合格","特力屋股份有限公司臺北縣土城市青雲路號樓",
7,1021007,ORG2010352,"有機亞麻紅麴麵（纖味廚坊）","三風食品工業股份有限公司","臺中市大雅區民富街號",UCS,"合格","特力屋股份有限公司臺北縣土城市青雲路號樓",
8,1021025,ORG2010363,"有機黑穀寶粉","綠指南貿易有限公司","板橋區信義路巷號",FSII,"合格","棉花田生機園地股份有限公司府中門市新北市板橋區文化路段號樓",
9,1021025,ORG2010364,"有機紅棗","合一生機園股份有限公司","臺北市中山區松江路巷號",TOAF,"合格","棉花田生機園地股份有限公司府中門市新北市板橋區文化路段號樓",
10,1021025,ORG2010365,"脆時代有機燕麥片","廣博實業股份有限公司","臺北市南港區園區街號之","Fodevareregion Ost","合格","棉花田生機園地股份有限公司府中門市新北市板橋區文化路段號樓",
11,1021003,ORG2020595,"有機輕盈洋芋片紅椒","廣博實業股份有限公司","臺北市南港區園區街號之",Skal,"合格","棉花田生機園地股份有限公司臺北市萬華區青年路號樓",
12,1021003,ORG2020596,"有機檸檬碳酸果汁","廣博實業股份有限公司","臺北市南港區園區街號之","ECOGRUPPO ITALIA S.r.l.","合格","棉花田生機園地股份有限公司臺北市萬華區青年路號樓",
13,1021003,ORG2020600,"有機芝麻","廣博實業股份有限公司","臺北市南港區園區街號之","BIOAGRICERT S.R.L","合格","棉花田生機園地股份有限公司臺北市萬華區青年路號樓",
14,1021016,ORG2020645,"昇菲有機頂級初榨橄欖油","立昇洋行有限公司","新北市板橋區貴興路號樓","Servicio de certificacion CAAE","合格","萬芳里仁臺北市文山區興隆路段號",
15,1021016,ORG2020646,"有機不飽和葵花油","青荷國際有限公司","桃園市建國路號樓","bio inspecta","合格","萬芳里仁臺北市文山區興隆路段號",
16,1021016,ORG2020647,"有機金黃葡萄乾","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,"合格","萬芳里仁臺北市文山區興隆路段號",
17,1021016,ORG2020648,"馥聚有機加州梅乾","馥聚有限公司","新北市汐止區新台五路一段號樓之",QAI,"合格","萬芳里仁臺北市文山區興隆路段號",
18,1021029,ORG2020656,"加拿大有機草莓果醬","廣博實業股份有限公司","臺北市南港區園區街號樓之",QAI,"合格","棉花田生機園地股份有限公司臺北市信義區忠孝東路段號樓",
19,1021029,ORG2020660,"有機黑巧克力醬","廣博實業股份有限公司","臺北市南港區園區街號樓之",Skal,"合格","棉花田生機園地股份有限公司臺北市信義區忠孝東路段號樓",
20,1021029,ORG2020678,"有機杏桃果醬","大潤發流通事業股份有限公司","臺北市中山區八德路段號地下二樓","ECOCERT SAS","合格","潤泰創新國際（股）公司臺北市八德路段號",
21,1021029,ORG2020680,"有機綜合蔬菜瓶","大潤發流通事業股份有限公司","臺北市中山區八德路段號地下二樓","ECOCERT SAS","合格","潤泰創新國際（股）公司臺北市八德路段號",
22,1021002,ORG2030240,"有機義大利麵條","瑪諾蘭迦工作室","高雄市美濃區中興路段號","Suolo & Salute srl","合格","台灣主婦聯盟生活消費合作社東海站臺中市中港路段巷弄號",
23,1021002,ORG2030241,"有機素蠔油","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","台灣主婦聯盟生活消費合作社東海站臺中市中港路段巷弄號",
24,1021002,ORG2030242,"主婦聯盟有機味噌","穀盛股份有限公司","嘉義縣民雄工業區中正路號",COAA,"合格","台灣主婦聯盟生活消費合作社東海站臺中市中港路段巷弄號",
25,1021002,ORG2030255,"有機壺底油精","民生食品工廠","高雄市三民區昌裕街巷號",COAA,"合格","台灣糖業股份有限公司量販事業部西屯量販店臺中市西屯區臺中港路段之號",
26,1021002,ORG2030256,"中華有機豆腐","中華食品實業股份有限公司","屏東縣潮州鎮介壽路號","中華驗證有限公司","合格","台灣糖業股份有限公司量販事業部西屯量販店臺中市西屯區臺中港路段之號",
27,1021021,ORG2030258,"有機黑芝麻醬","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","喜樂愛之泉有限公司臺中市北區文祥街號",
28,1021021,ORG2030259,"有機香菇醬油膏","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","喜樂愛之泉有限公司臺中市北區文祥街號",
29,1021031,ORG2030274,"有機黑米植物奶","禾園生物科技有限公司","嘉義竹崎鄉紫雲村鹿寮崛號",TOC,"合格","莉莉安的人本有機世界學士店臺中市北屯區學士路號",
30,1021031,ORG2030280,"松鼎冷壓有機黃金亞麻仁籽油","松鼎實業股份有限公司","雲林縣虎尾鎮西屯里號",FSII,"合格","統健實業股份有限公司聖德科斯臺中崇德店臺中市北區崇德路段號",
31,1021031,ORG2030281,"有機薑油","美福行","宜蘭市女中路三段號",TOC,"合格","一品園天然蔬食有機生活館臺中市崇德路段號",
32,1021022,ORG2040142,"蘿董有機豆奶","羅東鎮農會食品工廠","羅東鎮倉前路號",MOA,"合格","統健實業股份有限公司南門門市臺南市南門路號",
33,1021025,ORG2050256,"第一道冷壓特級有機純橄欖油","宏常有限公司","臺北市長春路號",CCPAE,"合格","龍德百貨有限公司高雄縣阿蓮鄉南蓮村忠孝路號樓",
34,1021025,ORG2050257,"聖多美有機特級純橄欖油","勝玲津有限公司","臺北市長春路號樓之號",ICEA,"合格","龍德百貨有限公司高雄縣阿蓮鄉南蓮村忠孝路號樓",
35,1021025,ORG2050258,"冷壓有機橄欖油","泰山企業股粉有限公司","彰化縣田中鎮興工路號",CCPAE,"合格","全聯實業股份有限公司高雄縣阿蓮鄉南蓮村民族路巷號樓",
36,1021025,ORG2050259,"享活有機黑木耳露","苗栗縣農會酪農鮮乳加工廠","苗栗縣造橋鄉朝陽村中洲仔號",COAA,"合格","全聯實業股份有限公司高雄縣阿蓮鄉南蓮村民族路巷號樓",
37,1021025,ORG2050266,"珍田有機大燕麥片","華宥企業有限公司","桃園市樹林七街號",TOC,"合格","阿蓮有機養生館高雄縣阿離鄉中正路號",
38,1021025,ORG2050267,"有機豆漿","春喬食品興業股份有限公司","彰化縣員林鎮山腳里段巷號",TOC,"合格","阿蓮有機養生館高雄縣阿離鄉中正路號",
39,1021030,ORG2050268,"有機冷壓亞麻籽油（去苦味）","青荷國際有限公司","桃園市建國路號",CCPB,"合格","里仁事業股份有限公司高雄市旗山區大德里德昌路號",
40,1021030,ORG2050269,"有機不飽和葵花油","青荷國際有限公司","桃園市建國路號","bio inspecta","合格","里仁事業股份有限公司高雄市旗山區大德里德昌路號",
41,1021030,ORG2050270,"純麥有機白醬油","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","里仁事業股份有限公司高雄市旗山區大德里德昌路號",
42,1021030,ORG2050271,"有機豆奶","統盛國際股份有限公司","臺北市南京東路段巷號之",TOC,"合格","里仁事業股份有限公司高雄市旗山區大德里德昌路號",
43,1021030,ORG2050272,"有機葡萄柚汁","統盛國際股份有限公司","臺北市南京東路段巷號之",TOC,"合格","里仁事業股份有限公司高雄市旗山區大德里德昌路號",
